date,life_form,species,common_name,breaking_leaf_buds_count,percent_unfolded_leaves,percent_full_size_leaf,percent_leaves_colorful,fallen_leaf_presence,buds_and_flowers_count,percent_open_flowers,fruit_count,percent_ripe_fruits,dropped_fruit_count,notes,unfolded_leaves_count,initial_emergence,leaf_presence,percent_stalk_growth,percent_fiddlehead_unrolled,sporangia_presence,releasing_spores,pollen_amount,breaking_needle_bud_count,young_needle_count,pollen_cone_count,percent_open_pollen_cones,unripe_seed_cone_count,ripe_seed_cone_count
8/22/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,tree,Malus sp.,apple,10000,1,1,0.5,TRUE,0,0,900,1,100,"many leaves fallen, fruits all ripe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/15/2023,tree,Malus sp.,apple,10000,1,1,1,TRUE,0,0,500,1,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,shrub,Morella pensylvanica,northern bayberry,0,0,0,0,FALSE,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,shrub,Morella pensylvanica,northern bayberry,0,0,0,0,FALSE,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,shrub,Morella pensylvanica,northern bayberry,0,0,0,0,FALSE,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,shrub,Morella pensylvanica,northern bayberry,0,0,0,0,FALSE,0,0,0,0,0,some other bushes in sunnier areas appear like they might sprout leaves soon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,shrub,Morella pensylvanica,northern bayberry,0,0,0,0,FALSE,0,0,0,0,0,"leaf buds swelling, few other bushes starting to leaf out",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,0.5,0,FALSE,0,0,0,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,0.75,0,FALSE,25,0.5,0,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,0.75,0,FALSE,100,1,0,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,0.75,0,FALSE,100,1,0,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,1,0,FALSE,100,1,0,0,0,unsure if flowers open,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,1,0,FALSE,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,1,0,TRUE,0,0,100,0,0,"berries plump, unsure if ripe (still green)",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,1,0,TRUE,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,1,0,FALSE,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,1,0,FALSE,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2023,shrub,Morella pensylvanica,northern bayberry,1000,1,1,0,FALSE,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plants excavated for garden expansion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/15/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,0,0,0,0,0,first spotting!,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,5,0,0,0,0,one bud found,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,100,0.2,0,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,1000,0.75,10,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,1000,1,100,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,100,1,1000,0,0,missed last week,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,50,0.75,1000,0.15,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,30,1,1000,0.5,0,unsure if ripe but plump,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,30,1,1000,0.5,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,25,1,1000,0.5,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,5,1,1000,0.75,10,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,0,1,1000,1,30,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/15/2023,vine,Lathyrus japonicus,beach pea,NA,NA,NA,NA,NA,0,1,250,100,750,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,shrub,Rosa rugosa,beach rose,5,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,shrub,Rosa rugosa,beach rose,1000,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,shrub,Rosa rugosa,beach rose,1000,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,shrub,Rosa rugosa,beach rose,1000,0.5,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,shrub,Rosa rugosa,beach rose,10000,0.75,0.25,0,FALSE,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,100,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,100,0.75,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,100,0.75,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,100,0.75,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,80,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,80,0.75,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,15,1,150,0,0,more leaves continuously sprouting and growing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,20,1,150,0,0,not sure if this bush has any ripe fruits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,20,1,150,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,50,1,150,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0,FALSE,40,1,200,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0.15,FALSE,10,1,300,0.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/15/2023,shrub,Rosa rugosa,beach rose,10000,1,1,0.25,FALSE,1,1,300,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,shrub,Rubus allegheniensis,blackberry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not recorded in any way,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,shrub,Rubus allegheniensis,blackberry,100,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,shrub,Rubus allegheniensis,blackberry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not recorded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,shrub,Rubus allegheniensis,blackberry,200,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,shrub,Rubus allegheniensis,blackberry,600,0.25,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,shrub,Rubus allegheniensis,blackberry,1200,0.3,0.15,0,FALSE,150,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,shrub,Rubus allegheniensis,blackberry,5000,0.8,0.75,0,FALSE,750,0.75,0,0,0,great photo of all flowers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,shrub,Rubus allegheniensis,blackberry,10000,1,0.9,0,FALSE,1000,1,50,0,0,many petals fall to revesal fruits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0,FALSE,100,1,900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0,FALSE,5,1,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0,FALSE,0,0,1000,0,0,all petals dropped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0,FALSE,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0,FALSE,0,0,1000,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0,FALSE,0,0,1000,0.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0,FALSE,0,0,1000,0.7,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0.5,FALSE,0,0,0,0,1000,only fruits that remain are rotten/dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/15/2023,shrub,Rubus allegheniensis,blackberry,10000,1,1,0.75,TRUE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,shrub,Sambucus nigra,American black elderberry,1000,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/28/2023,shrub,Sambucus nigra,American black elderberry,1000,0.5,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,shrub,Sambucus nigra,American black elderberry,1000,0.5,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,shrub,Sambucus nigra,American black elderberry,1000,0.5,0.25,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,shrub,Sambucus nigra,American black elderberry,1000,0.75,0.5,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,shrub,Sambucus nigra,American black elderberry,1000,1,0.75,0,FALSE,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,shrub,Sambucus nigra,American black elderberry,1000,1,0.9,0,FALSE,1000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,shrub,Sambucus nigra,American black elderberry,1000,1,0.9,0,FALSE,1000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/2023,shrub,Sambucus nigra,American black elderberry,1000,1,0.9,0,FALSE,1000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,shrub,Sambucus nigra,American black elderberry,1000,1,0.9,0,FALSE,1000,0,0,0,0,buds clustered in three,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,shrub,Sambucus nigra,American black elderberry,1000,1,1,0,FALSE,1000,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,shrub,Sambucus nigra,American black elderberry,1000,1,1,0,FALSE,50,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/2023,shrub,Sambucus nigra,American black elderberry,1000,1,1,0,FALSE,25,1,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,shrub,Sambucus nigra,American black elderberry,1000,1,1,0,FALSE,25,1,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,shrub,Sambucus nigra,American black elderberry,1000,1,1,0,FALSE,20,1,70,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2023,shrub,Sambucus nigra,American black elderberry,1000,1,1,0,FALSE,10,1,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,shrub,Sambucus nigra,American black elderberry,1000,1,1,0.25,FALSE,0,1,5,0,70,"no fruits remain, missed ripe data entry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/15/2023,shrub,Sambucus nigra,American black elderberry,1000,1,1,0.25,FALSE,0,1,5,0.75,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,shrub,Vaccinium angustifolium,blueberry,0,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,shrub,Vaccinium angustifolium,blueberry,1000,0.5,0.25,0,FALSE,0,0,0,0,0,leaves pinkish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,shrub,Vaccinium angustifolium,blueberry,1000,0.5,0.25,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,shrub,Vaccinium angustifolium,blueberry,1000,0.75,0.5,0,FALSE,0,0,0,0,0,"possible buds spotted, leaves seem not fully unfurled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/19/2023,shrub,Vaccinium angustifolium,blueberry,10000,0.9,0.75,0,FALSE,50,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/13/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/4/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,50,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,50,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,50,0.25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,25,0.5,25,"dewy fruits, weathered leaves with dark spots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,25,0.75,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0,FALSE,0,0,20,0.75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0.05,FALSE,0,0,10,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0.1,FALSE,0,0,5,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0.5,FALSE,0,0,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/15/2023,shrub,Vaccinium angustifolium,blueberry,10000,1,1,0.9,FALSE,0,0,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,0,0,0,0,0,first spotted,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,0,0,0,0,0,two whorls of leaves above ground,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,6,0,0,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,10,0,0,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,10,0.5,0,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,shrub,Cirsium vulgare,bull thistle,NA,NA,NA,NA,NA,10,0,0,0,0,petals down/crispy tips,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
