date,life form,species,initial growth (presnt/absent),emergence (present/absent),# breaking leaf buds,leaves present/absent?,unfolded leaves (present/absent),unfolded leaves? (present/absent),fully unfolded leaves? (present/absent),fully unfolded leaves (present or absent),% unfolded leaves,% full size are most leaves?,# young leaves,# leaves unfolded,young leaves (present/absent),leaves present/absent,% full-sized leaves,% leaves colorful (not including dried leaves retained),% leaves color change,fallen leaves (present/absent),# breaking needle buds,# young needles,% stalk full growth,% fiddlehead unrolled,# flowers or buds,% open flowers,"pollen (little, some, lots)",# pollen cones,% open pollen cones,"pollen release (little, some, lots)",# fruits,# unripe seed cones,% ripe fruits,# ripe seed cones,# dropped/removed fruits,# cone or seed drop,notes,...30
5/10/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,first spotting!,NA
5/20/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,one bud found,NA
6/12/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.2,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/19/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0.75,NA,NA,NA,NA,10,NA,0,NA,0,NA,NA,NA
6/27/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
7/10/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1,NA,NA,NA,NA,5000,NA,0,NA,0,NA,missed last week,NA
7/17/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0.75,NA,NA,NA,NA,5000,NA,0.15,NA,0,NA,NA,NA
7/30/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,5000,NA,0.5,NA,0,NA,unsure if ripe but plump,NA
8/7/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,5000,NA,0.5,NA,0,NA,NA,NA
8/16/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,NA,NA,NA,NA,5000,NA,0.5,NA,0,NA,NA,NA
8/22/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,5000,NA,0.75,NA,10,NA,NA,NA
9/30/2023,vine,Lathyrus japonicus,present,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,5000,NA,1,NA,30,NA,NA,NA
4/14/2023,shrub,Rosa rugosa,NA,NA,5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/26/2023,shrub,Rosa rugosa,NA,NA,1000,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/29/2023,shrub,Rosa rugosa,NA,NA,1000,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
5/10/2023,shrub,Rosa rugosa,NA,NA,1000,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
5/20/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,0.75,0.25,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/12/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,100,0.5,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/19/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,100,0.75,NA,NA,NA,NA,50,NA,0,NA,0,NA,NA,NA
6/27/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,100,0.75,NA,NA,NA,NA,75,NA,0,NA,0,NA,NA,NA
7/3/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,100,0.75,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
7/10/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,80,1,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
7/17/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,80,0.75,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
7/25/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,15,1,NA,NA,NA,NA,150,NA,0,NA,0,NA,more leaves continuously sprouting and growing,NA
7/30/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,20,1,NA,NA,NA,NA,150,NA,0,NA,0,NA,not sure if this bush has any ripe fruits,NA
8/7/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,20,1,NA,NA,NA,NA,150,NA,0,NA,0,NA,NA,NA
8/16/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,50,1,NA,NA,NA,NA,150,NA,0.3,NA,0,NA,NA,NA
8/22/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,40,1,NA,NA,NA,NA,200,NA,0.5,NA,0,NA,NA,NA
9/30/2023,shrub,Rosa rugosa,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0.15,NA,absent,NA,NA,NA,NA,10,1,NA,NA,NA,NA,300,NA,0.75,NA,0,NA,NA,NA
4/14/2023,shrub,Rubus allegheniensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not recorded in any way,NA
4/26/2023,shrub,Rubus allegheniensis,NA,NA,100,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/29/2023,shrub,Rubus allegheniensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not recorded,NA
5/10/2023,shrub,Rubus allegheniensis,NA,NA,200,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
5/20/2023,shrub,Rubus allegheniensis,NA,NA,600,NA,NA,NA,NA,NA,0.25,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/12/2023,shrub,Rubus allegheniensis,NA,NA,1200,NA,NA,NA,NA,NA,0.3,0.15,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,150,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/19/2023,shrub,Rubus allegheniensis,NA,NA,5000,NA,NA,NA,NA,NA,0.8,0.75,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,750,0.75,NA,NA,NA,NA,0,NA,0,NA,0,NA,great photo of all flowers,NA
6/27/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,0.9,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,50,NA,0,NA,0,NA,many petals fall to revesal fruits,NA
7/3/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,100,1,NA,NA,NA,NA,900,NA,0,NA,0,NA,NA,NA
7/10/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,5,1,NA,NA,NA,NA,1000,NA,0,NA,0,NA,NA,NA
7/17/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,0,NA,all petals dropped,NA
7/25/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,NA,NA,NA,NA
8/7/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0.05,NA,5,NA,NA,NA
8/16/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0.5,NA,30,NA,NA,NA
8/22/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0.7,NA,120,NA,NA,NA
9/30/2023,shrub,Rubus allegheniensis,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0.5,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,1000,NA,only fruits that remain are rotten/dry,NA
4/14/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/28/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/29/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
5/10/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,0.5,0.25,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
5/20/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,0.75,0.5,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/12/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,0.75,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,100,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/19/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,0.9,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1000,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/27/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,0.9,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1000,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
7/3/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,0.9,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1000,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
7/10/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,0.9,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1000,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,buds clustered in three,NA
7/17/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1000,0.75,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
7/25/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,50,1,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
7/30/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,25,1,NA,NA,NA,NA,50,NA,0,NA,0,NA,NA,NA
8/7/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,25,1,NA,NA,NA,NA,50,NA,0,NA,0,NA,NA,NA
8/16/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,20,1,NA,NA,NA,NA,70,NA,0,NA,0,NA,NA,NA
8/22/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,10,1,NA,NA,NA,NA,75,NA,0,NA,0,NA,NA,NA
9/30/2023,shrub,Sambucus nigra,NA,NA,1000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0.25,NA,absent,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,0,NA,75,NA,"no fruits remain, missed ripe data entry",NA
4/14/2023,shrub,Vaccinium angustifolium,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/26/2023,shrub,Vaccinium angustifolium,NA,NA,1000,NA,NA,NA,NA,NA,0.5,0.25,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,leaves pinkish,NA
4/29/2023,shrub,Vaccinium angustifolium,NA,NA,1000,NA,NA,NA,NA,NA,0.5,0.25,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
5/10/2023,shrub,Vaccinium angustifolium,NA,NA,1000,NA,NA,NA,NA,NA,0.75,0.5,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,"possible buds spotted, leaves seem not fully unfurled",NA
5/19/2023,shrub,Vaccinium angustifolium,NA,NA,10000,NA,NA,NA,NA,NA,0.9,0.75,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,50,0.75,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/13/2023,shrub,Vaccinium angustifolium,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,50,NA,0,NA,0,NA,NA,NA
6/19/2023,shrub,Vaccinium angustifolium,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,50,NA,0,NA,0,NA,NA,NA
